Greek_Ikaria,6.34,0.53,2.25,0.06,24.52,13.01,0.95,0,13.37,0.17,38.79,0.03
Greek_Kalymnos,7.89,0.16,2.62,0.17,24.28,10.91,0.62,0.06,14.12,39.2,0,0.01
Greek_Karpathos,8.94,0,3.57,0.6,23.43,9.38,0.3,0.28,16.51,0.14,36.87,0
Greek_Kastellorizo,9.06,0.03,2.76,0.36,21.75,7.94,0,0.26,14.93,0.06,42.66,0.19
Greek_Kayseri,13.8,0.11,1.18,0.2,15.08,7.6,0.32,0,14.66,0,47.01,0.06
Greek_Cyprus,8.86,0.14,3.25,0.13,20.88,3.81,0.33,0.37,18.23,0.26,43.72,0.02
Greek_Nigde,10.9,0.34,0.58,0,19.74,8.15,0.54,0.05,13.8,0.1,45.83,0
Greek_Pontus,14.93,0.02,0.42,0.07,12.38,4.19,0.13,0.02,12.79,0.10,54.94,0
Greek_Rhodes,7.62,0.19,2.94,0.3,23.28,9.51,0.28,0.15,14.77,0.18,40.77,0
Greek_Symi,7.53,0.09,2.57,0.21,23.26,7.58,0.44,0.4,16.18,0.07,41.66,0
Greek_Athens,5.40,0.38,1.46,0.27,26.85,20.60,0.16,0.13,10.50,0.34,33.64,0.25
Greek_Crete,8.29,0.25,2.44,0.02,22.84,13.54,0.36,0.30,13.40,0.07,38.34,0.12
Greek_Fournoi,7.48,0,3.19,0,23.67,13.76,0.26,0,13.04,0.99,37.59,0
Greek_Icaria,5.33,0.76,1.77,0.25,25.46,10.78,0.77,0,13.57,0.11,41.15,0.04
Greek_Kos,8.51,0.10,2.81,0.29,23.06,10.34,0.16,0.07,14.40,0.22,39.98,0.06
Greek_Lemnos,8.61,0.03,2.25,0,24.94,17.12,0.93,0.09,11.15,0.91,34.30,0
Greek_Macedonia,6.27,0.51,0.85,0.18,25.96,30.54,0.18,0,7.61,0.33,27.56,0
Greek_Thessaloniki,5.04,0.36,1.51,0.19,26.71,25.24,0.48,0.05,8.95,0.21,31.24,0.03
Greek_Thrace,5.98,0.37,1.30,0.04,27.71,24.67,0.29,0,9.26,0.14,30.21,0.01
Gujarati_Brahmin,37.89,1.48,0.09,0.23,1.23,10.96,38.61,0.12,0.88,0.58,7.67,0.24
Hakkipikki,21.62,0.10,0.00,0.80,0.10,0.10,73.97,0.00,1.10,1.90,0.30,0.00
Han_central,0.1,1.19,0.01,41.27,0.04,0.21,0,0,0,57.18,0,0
Han_north,0.5,5.79,0,25.76,0.09,0.06,0,0.05,0.03,67.38,0.27,0.07
Han_south,0.06,0.3,0.03,50.48,0,0,0.3,0.1,0,48.56,0.04,0.13
Haryana_Ror,35.49,2.25,0.02,0.02,5.38,20.35,26.82,0.07,0.74,0.15,8.71,0
Hazara,20.52,17.32,0.00,2.50,2.60,9.21,6.51,0.00,2.30,29.53,9.51,0.00
Hemshin,17.03,0.06,0.41,0.2,9.36,4.68,0.37,0.02,11.13,0.02,56.67,0.01
